Analyte (CAS No.),CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)",Analyte
Aniline (62-53-3),62-53-3,440,n,5700,n,140,n,,Aniline
Anthracene (120-12-7),120-12-7,18000,n,230000,nm,1800,n,,Anthracene
"Anthraquinone, 9,10- (84-65-1)",84-65-1,130,n,1600,n,30,n,,"Anthraquinone, 9,10-"
Antimony (metallic) (7440-36-0),7440-36-0,31,n,470,n,7.8,n,6,Antimony (metallic)
Antimony Pentoxide (1314-60-9),1314-60-9,39,n,580,n,9.7,n,,Antimony Pentoxide
Antimony Tetroxide (1332-81-6),1332-81-6,31,n,470,n,7.8,n,,Antimony Tetroxide
Antimony Trioxide (1309-64-4),1309-64-4,280000,nm,1200000,nm,        ,,,Antimony Trioxide
Aroclor 1016 (12674-11-2),12674-11-2,4.1,n,51,n,1.4,n,,Aroclor 1016
Aroclor 1221 (11104-28-2),11104-28-2,20,c,83,c,0.47,c,,Aroclor 1221
Aroclor 1232 (11141-16-5),11141-16-5,17,c,72,c,0.47,c,,Aroclor 1232
Aroclor 1242 (53469-21-9),53469-21-9,23,c,95,c,0.78,c,,Aroclor 1242
Aroclor 1248 (12672-29-6),12672-29-6,23,c,95,c,0.78,c,,Aroclor 1248
Aroclor 1254 (11097-69-1),11097-69-1,1.2,n,15,n,0.4,n,,Aroclor 1254
Aroclor 1260 (11096-82-5),11096-82-5,24,c,99,c,0.78,c,,Aroclor 1260
Aroclor 5460 (11126-42-4),11126-42-4,35,n,440,n,12,n,,Aroclor 5460
"Arsenic, Inorganic (7440-38-2)",7440-38-2,35,nR,300,c**R,5.2,c**,10,"Arsenic, Inorganic"
Arsine (7784-42-1),7784-42-1,0.27,n,4.1,n,0.07,n,,Arsine
Asulam (3337-71-1),3337-71-1,2300,n,30000,n,720,n,,Asulam
Atrazine (1912-24-9),1912-24-9,240,c**,1000,c*,30,c*,3,Atrazine
Auramine (492-80-8),492-80-8,62,c,260,c,6.7,c,,Auramine
Avermectin B1 (65195-55-3),65195-55-3,25,n,330,n,8,n,,Avermectin B1
Azinphos-methyl (86-50-0),86-50-0,190,n,2500,n,56,n,,Azinphos-methyl
Azobenzene (103-33-3),103-33-3,560,c,2600,c,12,c,,Azobenzene
Azodicarbonamide (123-77-3),123-77-3,8600,n,40000,n,20000,n,,Azodicarbonamide
Barium (7440-39-3),7440-39-3,15000,n,220000,nm,3800,n,2000,Barium
Benfluralin (1861-40-1),1861-40-1,390,n,5800,n,28,n,,Benfluralin
Benomyl (17804-35-2),17804-35-2,3200,n,41000,n,970,n,,Benomyl
Bensulfuron-methyl (83055-99-6),83055-99-6,13000,n,160000,nm,3900,n,,Bensulfuron-methyl
Bentazon (25057-89-0),25057-89-0,1900,n,25000,n,570,n,,Bentazon
Benz[a]anthracene (56-55-3),56-55-3,110,c,2100,c,3,c,,Benz[a]anthracene
Benzaldehyde (100-52-7),100-52-7,7800,ns,82000,c**s,1900,c**,,Benzaldehyde
Benzene (71-43-2),71-43-2,82,n,420,n,33,n,5,Benzene
"Benzenediamine-2-methyl sulfate, 1,4- (6369-59-1)",6369-59-1,19,n,250,n,6,n,,"Benzenediamine-2-methyl sulfate, 1,4-"
Benzenethiol (108-98-5),108-98-5,78,n,1200,n,17,n,,Benzenethiol
Benzidine (92-87-5),92-87-5,0.053,c,1,c,0.011,c,,Benzidine
Benzo(j)fluoranthene (205-82-3),205-82-3,42,c,180,c,6.5,c,,Benzo(j)fluoranthene
Benzo[a]pyrene (50-32-8),50-32-8,11,c**,210,c**,2.5,c**,0.2,Benzo[a]pyrene
Benzo[b]fluoranthene (205-99-2),205-99-2,110,c,2100,c,25,c,,Benzo[b]fluoranthene
Benzo[k]fluoranthene (207-08-9),207-08-9,1100,c,21000,c,250,c,,Benzo[k]fluoranthene
Benzoic Acid (65-85-0),65-85-0,250000,nm,3300000,nm,75000,n,,Benzoic Acid
Benzotrichloride (98-07-7),98-07-7,5.3,c,25,c,0.3,c,,Benzotrichloride
Benzyl Alcohol (100-51-6),100-51-6,6300,n,82000,n,2000,n,,Benzyl Alcohol
Benzyl Chloride (100-44-7),100-44-7,23,n,110,n,2,n,,Benzyl Chloride
Beryllium and compounds (7440-41-7),7440-41-7,160,n,2300,n,25,n,4,Beryllium and compounds
Bifenox (42576-02-3),42576-02-3,570,n,7400,n,100,n,,Bifenox
Biphenthrin (82657-04-3),82657-04-3,950,n,12000,n,300,n,,Biphenthrin
"Biphenyl, 1,1'- (92-52-4)",92-52-4,47,n,200,n,0.83,n,,"Biphenyl, 1,1'-"
Bis(2-chloro-1-methylethyl) ether (108-60-1),108-60-1,3100,ns,47000,ns,710,n,,Bis(2-chloro-1-methylethyl) ether
Bis(2-chloroethoxy)methane (111-91-1),111-91-1,190,n,2500,n,59,n,,Bis(2-chloroethoxy)methane
Bis(2-chloroethyl)ether (111-44-4),111-44-4,23,c,100,c,1.4,c,,Bis(2-chloroethyl)ether
Bis(2-ethylhexyl)phthalate (117-81-7),117-81-7,1300,n,16000,c**,400,n,6,Bis(2-ethylhexyl)phthalate
Bis(chloromethyl)ether (542-88-1),542-88-1,0.0083,c,0.036,c,0.0072,c,,Bis(chloromethyl)ether
Bisphenol A (80-05-7),80-05-7,3200,n,41000,n,770,n,,Bisphenol A
Boron And Borates Only (7440-42-8),7440-42-8,16000,n,230000,nm,4000,n,,Boron And Borates Only
Boron Trichloride (10294-34-5),10294-34-5,160000,nm,2300000,nm,42,n,,Boron Trichloride
Boron Trifluoride (7637-07-2),7637-07-2,3100,n,47000,n,26,n,,Boron Trifluoride
Bromate (15541-45-4),15541-45-4,99,c**,470,c*,11,c**,10,Bromate
"Bromo-2-chloroethane, 1- (107-04-0)",107-04-0,2.6,c,11,c,0.74,c,,"Bromo-2-chloroethane, 1-"
"Bromo-3-fluorobenzene, 1- (1073-06-9)",1073-06-9,23,n,350,n,4.9,n,,"Bromo-3-fluorobenzene, 1-"
"Bromo-4-fluorobenzene, 1- (460-00-4)",460-00-4,23,n,350,ns,4.6,n,,"Bromo-4-fluorobenzene, 1-"
Bromobenzene (108-86-1),108-86-1,290,n,1800,ns,62,n,,Bromobenzene
Bromochloromethane (74-97-5),74-97-5,150,n,630,n,83,n,,Bromochloromethane
Bromodichloromethane (75-27-4),75-27-4,29,c*,130,c,13,c*,8.0E+01(F),Bromodichloromethane
Bromoform (75-25-2),75-25-2,1600,ns,8600,c**s,330,c**,8.0E+01(F),Bromoform
Bromomethane (74-83-9),74-83-9,6.8,n,30,n,7.5,n,,Bromomethane
Bromophos (2104-96-3),2104-96-3,390,n,5800,n,35,n,,Bromophos
"Bromopropane, 1- (106-94-5)",106-94-5,220,n,940,n,210,n,,"Bromopropane, 1-"
Bromoxynil (1689-84-5),1689-84-5,530,c**,2200,c**,61,c**,,Bromoxynil
Bromoxynil Octanoate (1689-99-2),1689-99-2,670,c**,3200,c**,24,c**,,Bromoxynil Octanoate
"Butadiene, 1,3- (106-99-0)",106-99-0,1.8,n,7.6,n,1.8,c**,,"Butadiene, 1,3-"
"Butanoic acid, 4-(2,4-dichlorophenoxy)- (94-82-6)",94-82-6,1900,n,25000,n,450,n,,"Butanoic acid, 4-(2,4-dichlorophenoxy)-"
"Butanol, N- (71-36-3)",71-36-3,7800,ns,120000,nms,2000,n,,"Butanol, N-"
"Butyl alcohol, sec- (78-92-2)",78-92-2,130000,nms,1500000,nms,24000,n,,"Butyl alcohol, sec-"
Butyl Benzyl Phthalate (85-68-7),85-68-7,13000,n,120000,c**m,1600,c**,,Butyl Benzyl Phthalate
Butylate (2008-41-5),2008-41-5,3900,n,58000,n,460,n,,Butylate
Butylated hydroxyanisole (25013-16-5),25013-16-5,270000,cm,1100000,cm,15000,c,,Butylated hydroxyanisole
Butylated hydroxytoluene (128-37-0),128-37-0,15000,c**,64000,c**,340,c**,,Butylated hydroxytoluene
"Butylbenzene, n- (104-51-8)",104-51-8,3900,ns,58000,ns,1000,n,,"Butylbenzene, n-"
"Butylbenzene, sec- (135-98-8)",135-98-8,7800,ns,120000,nms,2000,n,,"Butylbenzene, sec-"
"Butylbenzene, tert- (98-06-6)",98-06-6,7800,ns,120000,nms,690,n,,"Butylbenzene, tert-"
Butylphthalyl Butylglycolate (85-70-1),85-70-1,63000,n,820000,nm,13000,n,,Butylphthalyl Butylglycolate
Cacodylic Acid (75-60-5),75-60-5,1300,n,16000,n,400,n,,Cacodylic Acid
Cadmium (Diet) (7440-43-9),7440-43-9,71,n,980,n,        ,,,Cadmium (Diet)
Cadmium (Water) (7440-43-9),7440-43-9,        ,,        ,,9.2,n,5,Cadmium (Water)
Calcium Cyanide (592-01-8),592-01-8,78,n,1200,n,20,n,,Calcium Cyanide
Calcium pyrophosphate (7790-76-3),7790-76-3,3800000,nm,57000000,nm,970000,n,,Calcium pyrophosphate
Caprolactam (105-60-2),105-60-2,31000,n,400000,nm,9900,n,,Caprolactam
Captafol (2425-06-1),2425-06-1,130,n,1500,c**,32,n,,Captafol
Captan (133-06-2),133-06-2,8200,n,100000,c**,2400,n,,Captan
Carbaryl (63-25-2),63-25-2,6300,n,82000,n,1800,n,,Carbaryl
Carbofuran (1563-66-2),1563-66-2,320,n,4100,n,94,n,40,Carbofuran
Carbon Disulfide (75-15-0),75-15-0,770,ns,3500,ns,810,n,,Carbon Disulfide
Carbon Tetrachloride (56-23-5),56-23-5,65,c**,290,c**,46,c**,5,Carbon Tetrachloride
Carbonyl Sulfide (463-58-1),463-58-1,67,n,280,n,210,n,,Carbonyl Sulfide
Carbosulfan (55285-14-8),55285-14-8,630,n,8200,n,51,n,,Carbosulfan
Carboxin (5234-68-4),5234-68-4,6300,n,82000,n,1900,n,,Carboxin
Ceric oxide (1306-38-3),1306-38-3,1300000,nm,5400000,nm,        ,,,Ceric oxide
Chloral Hydrate (302-17-0),302-17-0,7800,n,120000,nm,2000,n,,Chloral Hydrate
Chloramben (133-90-4),133-90-4,950,n,12000,n,290,n,,Chloramben
Chloranil (118-75-2),118-75-2,130,c,570,c,18,c,,Chloranil
Chlordane (12789-03-6),12789-03-6,35,n,450,n,0.74,n,2,Chlordane
Chlordecone (Kepone) (143-50-0),143-50-0,5.4,c**,23,c*,0.35,c**,,Chlordecone (Kepone)
Chlorfenvinphos (470-90-6),470-90-6,44,n,570,n,11,n,,Chlorfenvinphos
"Chlorimuron, Ethyl- (90982-32-4)",90982-32-4,5700,n,74000,n,1800,n,,"Chlorimuron, Ethyl-"
Chlorine (7782-50-5),7782-50-5,0.18,n,0.78,n,0.3,n,,Chlorine
Chlorine Dioxide (10049-04-4),10049-04-4,2300,n,34000,n,0.42,n,,Chlorine Dioxide
Chlorite (Sodium Salt) (7758-19-2),7758-19-2,2300,n,35000,n,600,n,1000,Chlorite (Sodium Salt)
"Chloro-1,1-difluoroethane, 1- (75-68-3)",75-68-3,54000,ns,230000,nms,100000,n,,"Chloro-1,1-difluoroethane, 1-"
"Chloro-1,3-butadiene, 2- (126-99-8)",126-99-8,1,c*,4.4,c*,1.9,c*,,"Chloro-1,3-butadiene, 2-"
"Chloro-2-methylaniline HCl, 4- (3165-93-3)",3165-93-3,120,c,500,c,17,c,,"Chloro-2-methylaniline HCl, 4-"
"Chloro-2-methylaniline, 4- (95-69-2)",95-69-2,190,n,2300,c**,54,n,,"Chloro-2-methylaniline, 4-"
"Chloroacetaldehyde, 2- (107-20-0)",107-20-0,260,c,1200,c,29,c,,"Chloroacetaldehyde, 2-"
Chloroacetic Acid (79-11-8),79-11-8,        ,,        ,,        ,,60,Chloroacetic Acid
"Chloroacetophenone, 2- (532-27-4)",532-27-4,43000,n,180000,nm,        ,,,"Chloroacetophenone, 2-"
"Chloroaniline, p- (106-47-8)",106-47-8,250,n,1100,c**,37,c**,,"Chloroaniline, p-"
Chlorobenzene (108-90-7),108-90-7,280,n,1300,ns,78,n,100,Chlorobenzene
"Chlorobenzene sulfonic acid, p- (98-66-8)",98-66-8,6300,n,82000,n,2000,n,,"Chlorobenzene sulfonic acid, p-"
Chlorobenzilate (510-15-6),510-15-6,490,c**,2100,c**,31,c**,,Chlorobenzilate
"Chlorobenzoic Acid, p- (74-11-3)",74-11-3,1900,n,25000,n,510,n,,"Chlorobenzoic Acid, p-"
"Chlorobenzotrifluoride, 4- (98-56-6)",98-56-6,210,n,2500,ns,35,n,,"Chlorobenzotrifluoride, 4-"
"Chlorobutane, 1- (109-69-3)",109-69-3,3100,ns,47000,ns,640,n,,"Chlorobutane, 1-"
Chlorodifluoromethane (75-45-6),75-45-6,49000,ns,210000,nms,100000,n,,Chlorodifluoromethane
"Chloroethanol, 2- (107-07-3)",107-07-3,1600,n,23000,n,400,n,,"Chloroethanol, 2-"
Chloroform (67-66-3),67-66-3,32,c**,140,c**,22,c**,8.0E+01(F),Chloroform
Chloromethane (74-87-3),74-87-3,110,n,460,n,190,n,,Chloromethane
Chloromethyl Methyl Ether (107-30-2),107-30-2,2,c,8.9,c,0.65,c,,Chloromethyl Methyl Ether
"Chloronaphthalene, Beta- (91-58-7)",91-58-7,4800,n,60000,n,750,n,,"Chloronaphthalene, Beta-"
"Chloronitrobenzene, o- (88-73-3)",88-73-3,180,c**,770,c**,24,c**,,"Chloronitrobenzene, o-"
"Chloronitrobenzene, p- (100-00-5)",100-00-5,44,n,570,n,13,n,,"Chloronitrobenzene, p-"
"Chlorophenol, 2- (95-57-8)",95-57-8,390,n,5800,n,91,n,,"Chlorophenol, 2-"
Chloropicrin (76-06-2),76-06-2,2,n,8.2,n,0.83,n,,Chloropicrin
Chlorothalonil (1897-45-6),1897-45-6,950,n,12000,n,260,n,,Chlorothalonil
"Chlorotoluene, o- (95-49-8)",95-49-8,1600,ns,23000,ns,240,n,,"Chlorotoluene, o-"
"Chlorotoluene, p- (106-43-4)",106-43-4,1600,ns,23000,ns,250,n,,"Chlorotoluene, p-"
Chlorozotocin (54749-90-5),54749-90-5,0.23,c,0.96,c,0.032,c,,Chlorozotocin
Chlorpropham (101-21-3),101-21-3,3200,n,41000,n,710,n,,Chlorpropham
Chlorpyrifos (2921-88-2),2921-88-2,63,n,820,n,8.4,n,,Chlorpyrifos
Chlorpyrifos Methyl (5598-13-0),5598-13-0,630,n,8200,n,120,n,,Chlorpyrifos Methyl
Chlorsulfuron (64902-72-3),64902-72-3,3200,n,41000,n,990,n,,Chlorsulfuron
Chlorthal-dimethyl (1861-32-1),1861-32-1,630,n,8200,n,120,n,,Chlorthal-dimethyl
Chlorthiophos (60238-56-4),60238-56-4,51,n,660,n,2.8,n,,Chlorthiophos
"Chromium, Total (7440-47-3)",7440-47-3,        ,,        ,,        ,,100,"Chromium, Total"
"Chromium(III), Insoluble Salts (16065-83-1)",16065-83-1,120000,nm,1800000,nm,22000,n,,"Chromium(III), Insoluble Salts"
Chromium(VI) (18540-29-9),18540-29-9,30,c**,630,c**,3.5,c*,,Chromium(VI)
Chrysene (218-01-9),218-01-9,11000,c,210000,cm,2500,c,,Chrysene
Clofentezine (74115-24-5),74115-24-5,820,n,11000,n,230,n,,Clofentezine
Cobalt (7440-48-4),7440-48-4,23,n,350,n,6,n,,Cobalt
Coke Oven Emissions (8007-45-2),8007-45-2,        ,,        ,,        ,,,Coke Oven Emissions
Copper (7440-50-8),7440-50-8,3100,n,47000,n,800,n,1300,Copper
Copper Cyanide (544-92-3),544-92-3,390,n,5800,n,100,n,,Copper Cyanide
"Cresol, m- (108-39-4)",108-39-4,3200,n,41000,n,930,n,,"Cresol, m-"
"Cresol, o- (95-48-7)",95-48-7,3200,n,41000,n,930,n,,"Cresol, o-"
"Cresol, p- (106-44-5)",106-44-5,6300,n,82000,n,1900,n,,"Cresol, p-"
"Cresol, p-chloro-m- (59-50-7)",59-50-7,6300,n,82000,n,1400,n,,"Cresol, p-chloro-m-"
Cresols (1319-77-3),1319-77-3,6300,n,82000,n,1500,n,,Cresols
"Crotonaldehyde, trans- (123-73-9)",123-73-9,37,c**,170,c**,4,c**,,"Crotonaldehyde, trans-"
Cumene (98-82-8),98-82-8,1900,ns,9900,ns,450,n,,Cumene
Cupferron (135-20-6),135-20-6,250,c,1000,c,35,c,,Cupferron
Cyanazine (21725-46-2),21725-46-2,65,c**,270,c**,8.8,c**,,Cyanazine
Cyanide (CN-) (57-12-5),57-12-5,23,n,150,n,1.5,n,200,Cyanide (CN-)
Cyanogen (460-19-5),460-19-5,78,n,1200,n,20,n,,Cyanogen
Cyanogen Bromide (506-68-3),506-68-3,7000,n,110000,nm,1800,n,,Cyanogen Bromide
Cyanogen Chloride (506-77-4),506-77-4,3900,n,58000,n,1000,n,,Cyanogen Chloride
Cyclohexane (110-82-7),110-82-7,6500,ns,27000,ns,13000,n,,Cyclohexane
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro- (87-84-3)",87-84-3,1300,n,11000,c**,280,c**,,"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-"
Cyclohexanone (108-94-1),108-94-1,28000,ns,130000,nms,1400,n,,Cyclohexanone
Cyclohexene (110-83-8),110-83-8,310,ns,3100,ns,70,n,,Cyclohexene
Cyclohexylamine (108-91-8),108-91-8,16000,n,230000,nm,3800,n,,Cyclohexylamine
Cyfluthrin (68359-37-5),68359-37-5,1600,n,21000,n,120,n,,Cyfluthrin
Cyhalothrin (68085-85-8),68085-85-8,63,n,820,n,20,n,,Cyhalothrin
Cyromazine (66215-27-8),66215-27-8,32000,n,410000,nm,9900,n,,Cyromazine
Dalapon (75-99-0),75-99-0,1900,n,25000,n,600,n,200,Dalapon
Daminozide (1596-84-5),1596-84-5,3000,c**,13000,c**,430,c**,,Daminozide
"DDD, p,p'- (DDD) (72-54-8)",72-54-8,1.9,n,25,n,0.063,n,,"DDD, p,p'- (DDD)"
"DDE, p,p'- (72-55-9)",72-55-9,23,n,350,n,4.6,c**,,"DDE, p,p'-"
DDT (50-29-3),50-29-3,37,n,520,n,10,n,,DDT
"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209) (1163-19-5)",1163-19-5,440,n,5700,n,140,n,,"Decabromodiphenyl ether, 2,2',3,3',4,4',5,5',6,6'- (BDE-209)"
Demeton (8065-48-3),8065-48-3,2.5,n,33,n,0.42,n,,Demeton
Di(2-ethylhexyl)adipate (103-23-1),103-23-1,38000,n,190000,c**m,6500,c**,400,Di(2-ethylhexyl)adipate
Diallate (2303-16-4),2303-16-4,890,c,3800,c,54,c,,Diallate
Diammonium phosphate (7783-28-0),7783-28-0,3800000,nm,57000000,nm,970000,n,,Diammonium phosphate
Diazinon (333-41-5),333-41-5,44,n,570,n,10,n,,Diazinon
"Dibenz[a,h]anthracene (53-70-3)",53-70-3,11,c,210,c,2.5,c,,"Dibenz[a,h]anthracene"
"Dibenzo(a,e)pyrene (192-65-4)",192-65-4,4.2,c,18,c,0.65,c,,"Dibenzo(a,e)pyrene"
Dibenzofuran (132-64-9),132-64-9,73,n,1000,n,7.9,n,,Dibenzofuran
Dibenzothiophene (132-65-0),132-65-0,780,n,12000,n,65,n,,Dibenzothiophene
"Dibromo-3-chloropropane, 1,2- (96-12-8)",96-12-8,0.53,c**,6.4,c**,0.033,c*,0.2,"Dibromo-3-chloropropane, 1,2-"
"Dibromobenzene, 1,3- (108-36-1)",108-36-1,31,n,470,ns,5.3,n,,"Dibromobenzene, 1,3-"
"Dibromobenzene, 1,4- (106-37-6)",106-37-6,780,n,12000,n,130,n,,"Dibromobenzene, 1,4-"
Dibromochloromethane (124-48-1),124-48-1,830,c**s,3900,c**s,87,c**,8.0E+01(F),Dibromochloromethane
"Dibromoethane, 1,2- (106-93-4)",106-93-4,3.6,c*,16,c*,0.75,c*,0.05,"Dibromoethane, 1,2-"
Dibromomethane (Methylene Bromide) (74-95-3),74-95-3,24,n,99,n,8.3,n,,Dibromomethane (Methylene Bromide)
Dibutyl Phthalate (84-74-2),84-74-2,6300,n,82000,n,900,n,,Dibutyl Phthalate
Dibutyltin Compounds (E1790660),E1790660,19,n,250,n,6,n,,Dibutyltin Compounds
Dicalcium phosphate (7757-93-9),7757-93-9,3800000,nm,57000000,nm,970000,n,,Dicalcium phosphate
Dicamba (1918-00-9),1918-00-9,1900,n,25000,n,570,n,,Dicamba
"Dichloro-2-butene, 1,4- (764-41-0)",764-41-0,0.21,c,0.94,c,0.13,c,,"Dichloro-2-butene, 1,4-"
"Dichloro-2-butene, cis-1,4- (1476-11-5)",1476-11-5,0.74,c,3.2,c,0.13,c,,"Dichloro-2-butene, cis-1,4-"
"Dichloro-2-butene, trans-1,4- (110-57-6)",110-57-6,0.74,c,3.2,c,0.13,c,,"Dichloro-2-butene, trans-1,4-"
Dichloroacetic Acid (79-43-6),79-43-6,250,n,3300,n,79,n,60,Dichloroacetic Acid
"Dichlorobenzene, 1,2- (95-50-1)",95-50-1,1800,ns,9300,ns,300,n,600,"Dichlorobenzene, 1,2-"
"Dichlorobenzene, 1,4- (106-46-7)",106-46-7,260,c*,1100,c*,48,c*,75,"Dichlorobenzene, 1,4-"
"Dichlorobenzidine, 3,3'- (91-94-1)",91-94-1,120,c,510,c,13,c,,"Dichlorobenzidine, 3,3'-"
"Dichlorobenzophenone, 4,4'- (90-98-2)",90-98-2,570,n,7400,n,78,n,,"Dichlorobenzophenone, 4,4'-"
Dichlorodifluoromethane (75-71-8),75-71-8,87,n,370,n,200,n,,Dichlorodifluoromethane
"Dichloroethane, 1,1- (75-34-3)",75-34-3,360,c*,1600,c,280,c*,,"Dichloroethane, 1,1-"
"Dichloroethane, 1,2- (107-06-2)",107-06-2,31,n,140,n,13,n,5,"Dichloroethane, 1,2-"
"Dichloroethylene, 1,1- (75-35-4)",75-35-4,230,n,1000,n,280,n,7,"Dichloroethylene, 1,1-"
"Dichloroethylene, 1,2-cis- (156-59-2)",156-59-2,160,n,2300,n,36,n,70,"Dichloroethylene, 1,2-cis-"
"Dichloroethylene, 1,2-trans- (156-60-5)",156-60-5,1600,n,23000,ns,360,n,100,"Dichloroethylene, 1,2-trans-"
"Dichlorophenol, 2,4- (120-83-2)",120-83-2,190,n,2500,n,46,n,,"Dichlorophenol, 2,4-"
"Dichlorophenoxy Acetic Acid, 2,4- (94-75-7)",94-75-7,700,n,9600,n,170,n,70,"Dichlorophenoxy Acetic Acid, 2,4-"
"Dichloropropane, 1,2- (78-87-5)",78-87-5,16,n,66,n,8.2,n,5,"Dichloropropane, 1,2-"
"Dichloropropane, 1,3- (142-28-9)",142-28-9,1600,ns,23000,ns,370,n,,"Dichloropropane, 1,3-"
"Dichloropropanol, 2,3- (616-23-9)",616-23-9,190,n,2500,n,59,n,,"Dichloropropanol, 2,3-"
"Dichloropropene, 1,3- (542-75-6)",542-75-6,72,n,310,n,39,n,,"Dichloropropene, 1,3-"
Dichlorvos (62-73-7),62-73-7,32,n,410,n,9.9,n,,Dichlorvos
Dicrotophos (141-66-2),141-66-2,1.9,n,25,n,0.6,n,,Dicrotophos
Dicyclopentadiene (77-73-6),77-73-6,1.3,n,5.4,n,0.63,n,,Dicyclopentadiene
Dieldrin (60-57-1),60-57-1,3.2,n,14,c**,0.18,c**,,Dieldrin
Diesel Engine Exhaust (E17136615),E17136615,        ,,        ,,        ,,,Diesel Engine Exhaust
Diethanolamine (111-42-2),111-42-2,130,n,1600,n,40,n,,Diethanolamine
Diethyl Phthalate (84-66-2),84-66-2,51000,n,660000,nm,15000,n,,Diethyl Phthalate
Diethylene Glycol Monobutyl Ether (112-34-5),112-34-5,1900,n,24000,n,600,n,,Diethylene Glycol Monobutyl Ether
Diethylene Glycol Monoethyl Ether (111-90-0),111-90-0,3800,n,48000,n,1200,n,,Diethylene Glycol Monoethyl Ether
Diethylformamide (617-84-5),617-84-5,78,n,1200,n,20,n,,Diethylformamide
Diethylstilbestrol (56-53-1),56-53-1,0.16,c,0.66,c,0.0051,c,,Diethylstilbestrol
Difenzoquat (43222-48-6),43222-48-6,5200,n,68000,n,1700,n,,Difenzoquat
Diflubenzuron (35367-38-5),35367-38-5,1300,n,16000,n,290,n,,Diflubenzuron
"Difluoroethane, 1,1- (75-37-6)",75-37-6,48000,ns,200000,nms,83000,n,,"Difluoroethane, 1,1-"
