Analyte,CAS No.,"Resident Soil
(mg/kg)",key,"Industrial Soil
(mg/kg)",key,"Tapwater
(ug/L)",key,"MCL
(ug/L)"
Dimagnesium phosphate,7782-75-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
"Dimethylbenz(a)anthracene, 7,12-",57-97-6,4.6E-02,c,8.4E-01,c,1.0E-02,c,
Dimethylterephthalate,120-61-6,2.3E+04,n,3.5E+05,nm,5.6E+03,n,
Dipotassium phosphate,7758-11-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Disodium phosphate,7558-79-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Fluoranthene,206-44-0,7.2E+03,n,9.0E+04,n,2.4E+03,n,
Fluorene,86-73-7,7.2E+03,n,9.0E+04,n,8.8E+02,n,
Furan,110-00-9,2.2E+02,n,3.1E+03,n,5.8E+01,n,
"Heptachlorobiphenyl, 2,3,3',4,4',5,5'- (PCB 189)",39635-31-9,4.1E+00,n,5.1E+01,n,4.0E-01,c**,
"Hexachlorobiphenyl, 2,3,3',4,4',5- (PCB 156)",38380-08-4,4.1E+00,n,5.0E+01,c**,4.0E-01,c**,
"Hexachlorobiphenyl, 2,3,3',4,4',5'- (PCB 157)",69782-90-7,4.1E+00,n,5.0E+01,c**,4.0E-01,c**,
"Hexachlorobiphenyl, 2,3',4,4',5,5'- (PCB 167)",52663-72-6,4.1E+00,n,5.1E+01,c**,4.0E-01,c**,
"Hexachlorobiphenyl, 3,3',4,4',5,5'- (PCB 169)",32774-16-6,4.1E-03,n,5.1E-02,c**,4.0E-04,c**,
"Hexachlorodibenzo-p-dioxin, Mixture",,1.0E-02,c,4.7E-02,c,1.3E-03,c,
Hydrogen Cyanide,74-90-8,6.8E+01,n,4.4E+02,n,4.4E+00,n,
"Indeno[1,2,3-cd]pyrene",193-39-5,1.1E+02,c,2.1E+03,c,2.5E+01,c,
Lead acetate,301-04-2,6.4E+03,c,2.7E+04,c,9.2E+02,c,
Lead and Compounds,7439-92-1,4.0E+02,L,8.0E+02,L,1.5E+01,L,1.5E+01
Lead Phosphate,7446-27-7,8.2E+03,c,3.8E+04,c,9.1E+02,c,
Lead subacetate,1335-32-6,6.4E+03,c,2.7E+04,c,9.2E+02,c,
Lithium Perchlorate,7791-03-9,1.6E+02,n,2.5E+03,n,4.2E+01,n,
Mercuric Chloride (and other Mercury salts),7487-94-7,7.0E+01,n,1.1E+03,n,1.7E+01,n,2.0E+00
Mercury (elemental),7439-97-6,3.3E+01,ns,1.4E+02,ns,1.9E+00,n,2.0E+00
Methyl Mercury,22967-92-6,2.3E+01,n,3.5E+02,n,6.0E+00,n,
"Methylnaphthalene, 1-",90-12-0,1.8E+03,c**s,7.3E+03,c*s,1.1E+02,c*,
"Methylnaphthalene, 2-",91-57-6,7.2E+02,n,9.0E+03,n,1.1E+02,n,
Monoaluminum phosphate,13530-50-2,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Monoammonium phosphate,7722-76-1,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Monocalcium phosphate,7758-23-8,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Monomagnesium phosphate,7757-86-0,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Monopotassium phosphate,7778-77-0,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Monosodium phosphate,7558-80-7,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Naphthalene,91-20-3,3.8E+02,c**,1.7E+03,c**,1.7E+01,c**,
"Nitropyrene, 4-",57835-92-4,4.2E+01,c,1.8E+02,c,1.9E+00,c,
"Octyl Phthalate, di-N-",117-84-0,1.9E+03,n,2.5E+04,n,6.0E+02,n,
"Pentachlorobiphenyl, 2,3,3',4,4'- (PCB 105)",32598-14-4,4.1E+00,n,4.9E+01,c**,4.0E-01,c**,
"Pentachlorobiphenyl, 2,3,4,4',5- (PCB 114)",74472-37-0,4.1E+00,n,5.0E+01,c**,4.0E-01,c**,
"Pentachlorobiphenyl, 2,3',4,4',5- (PCB 118)",31508-00-6,4.1E+00,n,4.9E+01,c**,4.0E-01,c**,
"Pentachlorobiphenyl, 2',3,4,4',5- (PCB 123)",65510-44-3,4.1E+00,n,4.9E+01,c**,4.0E-01,c**,
"Pentachlorobiphenyl, 3,3',4,4',5- (PCB 126)",57465-28-8,1.2E-03,n,1.5E-02,c**,1.2E-04,c**,
Perchlorate and Perchlorate Salts,14797-73-0,1.6E+02,n,2.5E+03,n,4.2E+01,n,1.5E+01(F)
Phenylmercuric Acetate,62-38-4,1.5E+01,n,2.0E+02,n,4.8E+00,n,
"Phthalic Acid, P-",100-21-0,1.9E+05,nm,2.5E+06,nm,5.7E+04,n,
Phthalic Anhydride,85-44-9,3.8E+05,nm,4.9E+06,nm,1.2E+05,n,
Polychlorinated Biphenyls (high risk),1336-36-3,2.3E+01,c,9.4E+01,c,        ,,5.0E-01
Polychlorinated Biphenyls (low risk),1336-36-3,        ,,        ,,4.4E+00,c,5.0E-01
Polychlorinated Biphenyls (lowest risk),1336-36-3,        ,,        ,,        ,,5.0E-01
Polyphosphoric acid,8017-16-1,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Potassium Cyanide,151-50-8,4.7E+02,n,7.0E+03,n,1.2E+02,n,
Potassium Perchlorate,7778-74-7,1.6E+02,n,2.5E+03,n,4.2E+01,n,
Potassium Silver Cyanide,506-61-6,1.2E+03,n,1.8E+04,n,2.5E+02,n,
Potassium tripolyphosphate,13845-36-8,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Pyrene,129-00-0,5.4E+03,n,6.8E+04,n,3.6E+02,n,
Silver Cyanide,506-64-9,2.3E+04,n,3.5E+05,nm,5.4E+03,n,
Sodium acid pyrophosphate,7758-16-9,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium aluminum phosphate (acidic),7785-88-8,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium aluminum phosphate (anhydrous),10279-59-1,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium aluminum phosphate (tetrahydrate),10305-76-7,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium Cyanide,143-33-9,2.3E+02,n,3.5E+03,n,6.0E+01,n,2.0E+02
Sodium hexametaphosphate,10124-56-8,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium Perchlorate,7601-89-0,1.6E+02,n,2.5E+03,n,4.2E+01,n,
Sodium polyphosphate,68915-31-1,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium trimetaphosphate,7785-84-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Sodium tripolyphosphate,7758-29-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
"TCDD, 2,3,7,8-",1746-01-6,1.5E-04,n,2.2E-03,c**,1.2E-05,c**,3.0E-05
"Tetrachlorobiphenyl, 3,3',4,4'- (PCB 77)",32598-13-3,1.2E+00,n,1.5E+01,n,4.2E-01,n,
"Tetrachlorobiphenyl, 3,4,4',5- (PCB 81)",70362-50-4,4.1E-01,n,4.8E+00,c**,4.0E-02,c**,
Tetraethyl Lead,78-00-2,2.3E-02,n,3.5E-01,n,3.9E-03,n,
Tetrahydrofuran,109-99-9,5.4E+04,n,2.8E+05,nms,1.0E+04,n,
Tetrapotassium phosphate,7320-34-5,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Tetrasodium pyrophosphate,7722-88-5,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Thiocyanates,E1790664,4.7E+01,n,7.0E+02,n,1.2E+01,n,
Thiocyanic Acid,463-56-9,4.7E+01,n,7.0E+02,n,1.2E+01,n,
Trialuminum sodium tetra decahydrogenoctaorthophosphate (dihydrate),15136-87-5,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Tricalcium phosphate,7758-87-4,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Trimagnesium phosphate,7757-87-1,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Tripotassium phosphate,7778-53-2,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Trisodium phosphate,7601-54-9,1.1E+07,nm,1.7E+08,nm,2.9E+06,n,
Zinc Cyanide,557-21-1,1.2E+04,n,1.8E+05,nm,3.0E+03,n,
Acephate,30560-19-1,2.3E+02,n,3.0E+03,n,7.2E+01,n,
Acetaldehyde,75-07-0,2.5E+02,n,1.0E+03,n,5.6E+01,n,
Acetochlor,34256-82-1,3.8E+03,n,4.9E+04,n,1.1E+03,n,
Acetone,67-64-1,1.8E+05,nms,2.0E+06,nms,4.2E+04,n,
Acetone Cyanohydrin,75-86-5,8.5E+06,nm,3.6E+07,nm,        ,,
Acetonitrile,75-05-8,2.4E+03,n,1.0E+04,n,3.8E+02,n,
Acetophenone,98-86-2,2.3E+04,ns,3.5E+05,nms,5.8E+03,n,
"Acetylaminofluorene, 2-",53-96-3,1.4E+01,c,6.0E+01,c,1.6E+00,c,
Acrolein,107-02-8,4.3E-01,n,1.8E+00,n,1.2E-01,n,
Acrylamide,79-06-1,2.4E+01,c*,4.6E+02,c*,5.0E+00,c*,
Acrylic Acid,79-10-7,3.0E+02,n,1.3E+03,n,6.3E+00,n,
Acrylonitrile,107-13-1,2.5E+01,c**,1.1E+02,c**,5.2E+00,c**,
Adiponitrile,111-69-3,2.6E+07,nm,1.1E+08,nm,        ,,
Alachlor,15972-60-8,9.7E+02,c**,4.1E+03,c**,1.1E+02,c**,2.0E+00
Aldicarb,116-06-3,1.9E+02,n,2.5E+03,n,5.9E+01,n,3.0E+00
Aldicarb Sulfone,1646-88-4,1.9E+02,n,2.5E+03,n,6.0E+01,n,2.0E+00
Aldicarb sulfoxide,1646-87-3,        ,,        ,,        ,,4.0E+00
Aldrin,309-00-2,3.9E+00,c**,1.8E+01,c**,9.2E-02,c*,
Allyl Alcohol,107-18-6,1.1E+01,n,4.5E+01,n,6.2E-01,n,
Allyl Chloride,107-05-1,5.0E+00,n,2.1E+01,n,6.3E+00,n,
Aluminum,7429-90-5,2.3E+05,nm,3.4E+06,nm,6.0E+04,n,
Aluminum Phosphide,20859-73-8,9.4E+01,n,1.4E+03,n,2.4E+01,n,
Ametryn,834-12-8,1.7E+03,n,2.2E+04,n,4.6E+02,n,
"Aminobiphenyl, 4-",92-67-1,2.6E+00,c,1.1E+01,c,3.0E-01,c,
"Aminophenol, m-",591-27-5,1.5E+04,n,2.0E+05,nm,4.8E+03,n,
"Aminophenol, o-",95-55-6,7.6E+02,n,9.8E+03,n,2.4E+02,n,
"Aminophenol, p-",123-30-8,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Amitraz,33089-61-1,4.7E+02,n,6.2E+03,n,2.5E+01,n,
Ammonia,7664-41-7,        ,,        ,,        ,,
Ammonium Sulfamate,7773-06-0,4.7E+04,n,7.0E+05,nm,1.2E+04,n,
"Amyl Alcohol, tert-",75-85-4,2.5E+02,n,1.0E+03,n,1.9E+01,n,
Aniline,62-53-3,1.3E+03,n,1.7E+04,n,4.1E+02,n,
"Anthraquinone, 9,10-",84-65-1,3.8E+02,n,4.9E+03,n,8.9E+01,n,
Antimony (metallic),7440-36-0,9.4E+01,n,1.4E+03,n,2.3E+01,n,6.0E+00
Antimony Pentoxide,1314-60-9,1.2E+02,n,1.8E+03,n,2.9E+01,n,
Antimony Tetroxide,1332-81-6,9.4E+01,n,1.4E+03,n,2.3E+01,n,
Antimony Trioxide,1309-64-4,8.5E+05,nm,3.6E+06,nm,        ,,
"Arsenic, Inorganic",7440-38-2,6.8E+01,c**R,3.0E+02,c**R,5.2E+00,c**,1.0E+01
Arsine,7784-42-1,8.2E-01,n,1.2E+01,n,2.1E-01,n,
Asulam,3337-71-1,6.8E+03,n,8.9E+04,n,2.2E+03,n,
Atrazine,1912-24-9,2.4E+02,c*,1.0E+03,c*,3.0E+01,c*,3.0E+00
Auramine,492-80-8,6.2E+01,c,2.6E+02,c,6.7E+00,c,
Avermectin B1,65195-55-3,7.6E+01,n,9.8E+02,n,2.4E+01,n,
Azinphos-methyl,86-50-0,5.7E+02,n,7.4E+03,n,1.7E+02,n,
Azobenzene,103-33-3,5.6E+02,c,2.6E+03,c,1.2E+01,c,
Azodicarbonamide,123-77-3,2.6E+04,n,1.2E+05,nm,6.0E+04,n,
Barium,7440-39-3,4.6E+04,n,6.5E+05,nm,1.1E+04,n,2.0E+03
Benfluralin,1861-40-1,1.2E+03,n,1.8E+04,n,8.5E+01,n,
Benomyl,17804-35-2,9.5E+03,n,1.2E+05,nm,2.9E+03,n,
Bensulfuron-methyl,83055-99-6,3.8E+04,n,4.9E+05,nm,1.2E+04,n,
Bentazon,25057-89-0,5.7E+03,n,7.4E+04,n,1.7E+03,n,
Benzaldehyde,100-52-7,1.7E+04,c**s,8.2E+04,c**s,1.9E+03,c**,
Benzene,71-43-2,1.2E+02,c**,5.1E+02,c**,4.6E+01,c**,5.0E+00
"Benzenediamine-2-methyl sulfate, 1,4-",6369-59-1,5.7E+01,n,7.4E+02,n,1.8E+01,n,
Benzenethiol,108-98-5,2.3E+02,n,3.5E+03,ns,5.0E+01,n,
Benzidine,92-87-5,5.3E-02,c,1.0E+00,c,1.1E-02,c,
Benzoic Acid,65-85-0,7.6E+05,nm,9.8E+06,nm,2.3E+05,n,
Benzotrichloride,98-07-7,5.3E+00,c,2.5E+01,c,3.0E-01,c,
Benzyl Alcohol,100-51-6,1.9E+04,n,2.5E+05,nm,5.9E+03,n,
Benzyl Chloride,100-44-7,6.8E+01,n,3.2E+02,n,5.9E+00,n,
Beryllium and compounds,7440-41-7,4.7E+02,n,6.9E+03,n,7.4E+01,n,4.0E+00
Bifenox,42576-02-3,1.7E+03,n,2.2E+04,n,3.0E+02,n,
Biphenthrin,82657-04-3,2.8E+03,n,3.7E+04,n,9.0E+02,n,
"Biphenyl, 1,1'-",92-52-4,1.4E+02,n,6.0E+02,n,2.5E+00,n,
Bis(2-chloro-1-methylethyl) ether,108-60-1,9.4E+03,ns,1.4E+05,nms,2.1E+03,n,
Bis(2-chloroethoxy)methane,111-91-1,5.7E+02,n,7.4E+03,n,1.8E+02,n,
Bis(2-chloroethyl)ether,111-44-4,2.3E+01,c,1.0E+02,c,1.4E+00,c,
Bis(chloromethyl)ether,542-88-1,8.3E-03,c,3.6E-02,c,7.2E-03,c,
Bisphenol A,80-05-7,9.5E+03,n,1.2E+05,nm,2.3E+03,n,
Boron And Borates Only,7440-42-8,4.7E+04,n,7.0E+05,nm,1.2E+04,n,
Boron Trichloride,10294-34-5,4.7E+05,nm,6.9E+06,nm,1.3E+02,n,
Boron Trifluoride,7637-07-2,9.4E+03,n,1.4E+05,nm,7.9E+01,n,
Bromate,15541-45-4,9.9E+01,c**,4.7E+02,c*,1.1E+01,c*,1.0E+01
"Bromo-2-chloroethane, 1-",107-04-0,2.6E+00,c,1.1E+01,c,7.4E-01,c,
"Bromo-3-fluorobenzene, 1-",1073-06-9,7.0E+01,n,1.1E+03,ns,1.5E+01,n,
"Bromo-4-fluorobenzene, 1-",460-00-4,7.0E+01,n,1.1E+03,ns,1.4E+01,n,
Bromobenzene,108-86-1,8.6E+02,ns,5.3E+03,ns,1.9E+02,n,
Bromochloromethane,74-97-5,4.5E+02,n,1.9E+03,n,2.5E+02,n,
Bromodichloromethane,75-27-4,2.9E+01,c,1.3E+02,c,1.3E+01,c*,8.0E+01(F)
Bromoform,75-25-2,1.9E+03,c**s,8.6E+03,c**s,3.3E+02,c**,8.0E+01(F)
Bromomethane,74-83-9,2.1E+01,n,9.0E+01,n,2.3E+01,n,
Bromophos,2104-96-3,1.2E+03,n,1.8E+04,n,1.1E+02,n,
"Bromopropane, 1-",106-94-5,6.7E+02,n,2.8E+03,ns,6.3E+02,n,
Bromoxynil,1689-84-5,5.3E+02,c**,2.2E+03,c*,6.1E+01,c*,
Bromoxynil Octanoate,1689-99-2,6.7E+02,c**,3.2E+03,c*,2.4E+01,c*,
"Butadiene, 1,3-",106-99-0,5.4E+00,n,2.3E+01,n,1.8E+00,c**,
"Butanoic acid, 4-(2,4-dichlorophenoxy)-",94-82-6,5.7E+03,n,7.4E+04,n,1.4E+03,n,
"Butanol, N-",71-36-3,2.3E+04,ns,3.5E+05,nms,5.9E+03,n,
"Butyl alcohol, sec-",78-92-2,4.0E+05,nms,4.4E+06,nms,7.3E+04,n,
Butylate,2008-41-5,1.2E+04,n,1.8E+05,nm,1.4E+03,n,
Butylated hydroxyanisole,25013-16-5,2.7E+05,cm,1.1E+06,cm,1.5E+04,c,
Butylated hydroxytoluene,128-37-0,1.5E+04,c**,6.4E+04,c*,3.4E+02,c**,
"Butylbenzene, n-",104-51-8,1.2E+04,ns,1.8E+05,nms,3.0E+03,n,
"Butylbenzene, sec-",135-98-8,2.3E+04,ns,3.5E+05,nms,6.0E+03,n,
"Butylbenzene, tert-",98-06-6,2.3E+04,ns,3.5E+05,nms,2.1E+03,n,
Cacodylic Acid,75-60-5,3.8E+03,n,4.9E+04,n,1.2E+03,n,
Cadmium (Diet),7440-43-9,2.1E+02,n,2.9E+03,n,        ,,
Cadmium (Water),7440-43-9,        ,,        ,,2.8E+01,n,5.0E+00
Caprolactam,105-60-2,9.4E+04,n,1.2E+06,nm,3.0E+04,n,
Captafol,2425-06-1,3.6E+02,c**,1.5E+03,c**,4.0E+01,c**,
Captan,133-06-2,2.4E+04,c**,1.0E+05,c**,3.1E+03,c**,
Carbaryl,63-25-2,1.9E+04,n,2.5E+05,nm,5.5E+03,n,
Carbofuran,1563-66-2,9.5E+02,n,1.2E+04,n,2.8E+02,n,4.0E+01
Carbon Disulfide,75-15-0,2.3E+03,ns,1.0E+04,ns,2.4E+03,n,
Carbon Tetrachloride,56-23-5,6.5E+01,c**,2.9E+02,c**,4.6E+01,c**,5.0E+00
Carbonyl Sulfide,463-58-1,2.0E+02,n,8.5E+02,n,6.3E+02,n,
Carbosulfan,55285-14-8,1.9E+03,n,2.5E+04,n,1.5E+02,n,
Carboxin,5234-68-4,1.9E+04,n,2.5E+05,nm,5.7E+03,n,
Ceric oxide,1306-38-3,3.8E+06,nm,1.6E+07,nm,        ,,
Chloral Hydrate,302-17-0,2.3E+04,n,3.5E+05,nm,5.9E+03,n,
Chloramben,133-90-4,2.8E+03,n,3.7E+04,n,8.7E+02,n,
Chloranil,118-75-2,1.3E+02,c,5.7E+02,c,1.8E+01,c,
Chlordane,12789-03-6,1.0E+02,n,7.7E+02,c**,2.0E+00,c**,2.0E+00
Chlordecone (Kepone),143-50-0,5.4E+00,c*,2.3E+01,c*,3.5E-01,c*,
Chlorfenvinphos,470-90-6,1.3E+02,n,1.7E+03,n,3.4E+01,n,
"Chlorimuron, Ethyl-",90982-32-4,1.7E+04,n,2.2E+05,nm,5.3E+03,n,
Chlorine,7782-50-5,5.5E-01,n,2.3E+00,n,9.1E-01,n,
Chlorine Dioxide,10049-04-4,7.0E+03,n,1.0E+05,nm,1.3E+00,n,
Chlorite (Sodium Salt),7758-19-2,7.0E+03,n,1.1E+05,nm,1.8E+03,n,1.0E+03
"Chloro-1,1-difluoroethane, 1-",75-68-3,1.6E+05,nms,6.8E+05,nms,3.1E+05,n,
"Chloro-1,3-butadiene, 2-",126-99-8,1.0E+00,c*,4.4E+00,c*,1.9E+00,c*,
"Chloro-2-methylaniline HCl, 4-",3165-93-3,1.2E+02,c,5.0E+02,c,1.7E+01,c,
"Chloro-2-methylaniline, 4-",95-69-2,5.4E+02,c**,2.3E+03,c**,7.0E+01,c**,
"Chloroacetaldehyde, 2-",107-20-0,2.6E+02,c,1.2E+03,c,2.9E+01,c,
Chloroacetic Acid,79-11-8,        ,,        ,,        ,,6.0E+01
"Chloroacetophenone, 2-",532-27-4,1.3E+05,nm,5.4E+05,nm,        ,,
"Chloroaniline, p-",106-47-8,2.7E+02,c**,1.1E+03,c**,3.7E+01,c**,
Chlorobenzene,108-90-7,8.3E+02,ns,4.0E+03,ns,2.3E+02,n,1.0E+02
"Chlorobenzene sulfonic acid, p-",98-66-8,1.9E+04,n,2.5E+05,nm,6.0E+03,n,
Chlorobenzilate,510-15-6,4.9E+02,c**,2.1E+03,c*,3.1E+01,c*,
"Chlorobenzoic Acid, p-",74-11-3,5.7E+03,n,7.4E+04,n,1.5E+03,n,
"Chlorobenzotrifluoride, 4-",98-56-6,6.3E+02,ns,7.5E+03,ns,1.0E+02,n,
"Chlorobutane, 1-",109-69-3,9.4E+03,ns,1.4E+05,nms,1.9E+03,n,
Chlorodifluoromethane,75-45-6,1.5E+05,nms,6.2E+05,nms,3.1E+05,n,
"Chloroethanol, 2-",107-07-3,4.7E+03,n,7.0E+04,n,1.2E+03,n,
Chloroform,67-66-3,3.2E+01,c*,1.4E+02,c*,2.2E+01,c*,8.0E+01(F)
Chloromethane,74-87-3,3.3E+02,n,1.4E+03,ns,5.6E+02,n,
Chloromethyl Methyl Ether,107-30-2,2.0E+00,c,8.9E+00,c,6.5E-01,c,
"Chloronitrobenzene, o-",88-73-3,1.8E+02,c**,7.7E+02,c**,2.4E+01,c**,
"Chloronitrobenzene, p-",100-00-5,1.3E+02,n,1.7E+03,n,3.8E+01,n,
"Chlorophenol, 2-",95-57-8,1.2E+03,n,1.8E+04,n,2.7E+02,n,
Chloropicrin,76-06-2,5.9E+00,n,2.5E+01,n,2.5E+00,n,
Chlorothalonil,1897-45-6,2.8E+03,n,3.7E+04,n,7.9E+02,n,
"Chlorotoluene, o-",95-49-8,4.7E+03,ns,7.0E+04,ns,7.1E+02,n,
"Chlorotoluene, p-",106-43-4,4.7E+03,ns,7.0E+04,ns,7.5E+02,n,
Chlorozotocin,54749-90-5,2.3E-01,c,9.6E-01,c,3.2E-02,c,
Chlorpropham,101-21-3,9.5E+03,n,1.2E+05,nm,2.1E+03,n,
Chlorpyrifos,2921-88-2,1.9E+02,n,2.5E+03,n,2.5E+01,n,
Chlorpyrifos Methyl,5598-13-0,1.9E+03,n,2.5E+04,n,3.6E+02,n,
Chlorsulfuron,64902-72-3,9.5E+03,n,1.2E+05,nm,3.0E+03,n,
Chlorthal-dimethyl,1861-32-1,1.9E+03,n,2.5E+04,n,3.7E+02,n,
Chlorthiophos,60238-56-4,1.5E+02,n,2.0E+03,n,8.5E+00,n,
"Chromium(III), Insoluble Salts",16065-83-1,3.5E+05,nm,5.3E+06,nm,6.7E+04,n,
Chromium(VI),18540-29-9,3.0E+01,c*,6.3E+02,c*,3.5E+00,c*,
"Chromium, Total",7440-47-3,        ,,        ,,        ,,1.0E+02
Clofentezine,74115-24-5,2.5E+03,n,3.2E+04,n,7.0E+02,n,
Cobalt,7440-48-4,7.0E+01,n,1.0E+03,n,1.8E+01,n,
Coke Oven Emissions,8007-45-2,        ,,        ,,        ,,
Copper,7440-50-8,9.4E+03,n,1.4E+05,nm,2.4E+03,n,1.3E+03
"Cresol, m-",108-39-4,9.5E+03,n,1.2E+05,nm,2.8E+03,n,
"Cresol, o-",95-48-7,9.5E+03,n,1.2E+05,nm,2.8E+03,n,
"Cresol, p-",106-44-5,1.9E+04,n,2.5E+05,nm,5.6E+03,n,
"Cresol, p-chloro-m-",59-50-7,1.9E+04,n,2.5E+05,nm,4.3E+03,n,
Cresols,1319-77-3,1.9E+04,n,2.5E+05,nm,4.6E+03,n,
"Crotonaldehyde, trans-",123-73-9,3.7E+01,c**,1.7E+02,c*,4.0E+00,c*,
Cumene,98-82-8,5.8E+03,ns,3.0E+04,ns,1.4E+03,n,
Cupferron,135-20-6,2.5E+02,c,1.0E+03,c,3.5E+01,c,
Cyanazine,21725-46-2,6.5E+01,c**,2.7E+02,c*,8.8E+00,c*,
Cyclohexane,110-82-7,2.0E+04,ns,8.2E+04,ns,3.8E+04,n,
"Cyclohexane, 1,2,3,4,5-pentabromo-6-chloro-",87-84-3,2.7E+03,c**,1.1E+04,c**,2.8E+02,c**,
Cyclohexanone,108-94-1,8.5E+04,ns,3.8E+05,nms,4.3E+03,n,
Cyclohexene,110-83-8,9.3E+02,ns,9.2E+03,ns,2.1E+02,n,
Cyclohexylamine,108-91-8,4.7E+04,n,7.0E+05,nms,1.2E+04,n,
